,DATA,TIPO,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","TOTAL PASSAGEIROS TRANSPORTADOS

(M) = (J + K + L)"
0,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,800010 - TERM LAPA/PCA RAMOS,350,592,42,34,2,600,1,124,0,1746,1333,435,3514
1,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,853810 - VILA IARA/PAISSANDU,10,28,1,2,0,26,0,0,0,67,24,38,129
2,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO,505,871,49,57,1,803,0,61,2,2349,1010,687,4046
3,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA,141,264,17,20,1,259,1,80,0,783,403,246,1432
4,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA,329,537,17,40,1,479,1,128,1,1533,782,399,2714
5,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO,58,82,1,6,0,71,0,0,0,218,122,73,413
6,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,917M10 - MORRO GRANDE/METRO ANA ROSA,223,432,25,36,0,431,0,28,0,1175,604,262,2041
7,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,938L10 - TTVN CACHOEIRINHA/LAPA,500,712,24,44,3,688,3,157,0,2132,1950,321,4403
8,2014-12-31,CONCESSAO,AREA 1,GATO PRETO,978A10 - TTVN CACHOEIRINHA/MBARRA FUNDA,486,808,49,60,4,950,1,779,6,3144,2812,444,6400
9,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,199D10 - VILA LORIO/PINHEIROS,391,909,29,41,2,780,2,219,1,2374,1545,395,4314
10,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800010 - TERM LAPA/PCA RAMOS,316,433,26,40,0,459,1,113,0,1388,1081,337,2806
11,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800110 - VILA PIAUI/TERM LAPA,221,234,3,11,0,220,0,65,0,754,301,88,1143
12,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800210 - DOMITILA/TERM LAPA,151,238,1,10,0,139,0,91,0,630,314,97,1041
13,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800310 - V REMEDIOS/TERM LAPA,364,372,7,34,1,406,0,125,0,1309,591,169,2069
14,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800410 - SANTA MONICA/TERM LAPA,559,656,16,61,1,631,0,109,0,2033,698,281,3012
15,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800610 - JD DONARIA/TERM PIRITUBA,224,487,17,35,1,317,2,23,0,1106,669,282,2057
16,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800611 - TERM PIRITUBA/JARDIM DONARIA,13,29,0,0,1,32,0,0,0,75,95,9,179
17,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800710 - VILA CLARICE/TERM PIRITUBA,205,461,12,52,0,386,0,114,0,1230,594,170,1994
18,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800810 - STA MONICA/TERMPIRITUBA,423,661,13,47,0,510,1,146,0,1801,875,301,2977
19,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800910 - CID DABRIL III/TERMPIRITUBA,78,162,9,12,0,120,0,19,0,400,197,68,665
20,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800911 - TERM PIRITUBA/C D ABRIL 3ª GLE,4,10,1,1,0,7,0,0,0,23,21,0,44
21,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,800931 - CID DABRIL III/TERMPIRITUBA,248,359,7,26,0,320,0,69,0,1029,360,243,1632
22,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,801710 - VOITH/TERMPIRITUBA,63,150,4,6,1,129,0,28,0,381,247,84,712
23,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,804010 - SOL NASCENTE/LAPA,1049,1245,20,106,2,1251,1,179,0,3853,1159,370,5382
24,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,804710 - JARAGUA/LAPA,985,1177,22,114,2,1099,1,104,1,3505,1231,437,5173
25,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,805010 - PQ MORRO DOCE/LAPA,698,697,12,45,2,662,2,147,0,2265,1012,214,3491
26,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,805510 - PERUS/LAPA,754,781,15,54,1,966,0,228,1,2800,1159,332,4291
27,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,805551 - PERUS/BARRA FUNDA,381,411,8,34,1,525,3,129,0,1492,469,157,2118
28,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,806010 - VILA PIAUI/LAPA,236,184,8,10,0,229,1,43,0,711,253,72,1036
29,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,806210 - PQ S DOMINGOS/LAPA,85,154,12,10,0,117,0,20,0,398,146,81,625
30,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,810010 - TERMPIRITUBA/TERM LAPA,277,587,22,58,2,442,4,79,0,1471,1382,271,3124
31,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,820010 - TERM PIRITUBA/TERMPIRITUBA,154,203,9,6,0,146,0,57,0,575,483,171,1229
32,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,821310 - JD MARISTELA/PCA DO CORREIO,124,259,9,20,0,237,0,18,0,667,221,133,1021
33,2014-12-31,CONCESSAO,AREA 1,SANTA BRIGIDA,821410 - JD PAULISTANO/PCA DO CORREIO,113,185,12,10,0,196,0,11,0,527,378,133,1038
