,DATA,TIPO,AREA,EMPRESA,LINHA,"PASSAGEIROS PAGANTES EM DINHEIRO

(A)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM

(B)","PASSAGEIROS PAGANTES BILHETE ÚNICO COMUM MENSAL

(C)","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE

(D) ","PASSAGEIROS PAGANTES BILHETE ÚNICO ESTUDANTE MENSAL

(E) ","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE

(F)","PASSAGEIROS PAGANTES BILHETE ÚNICO VALE TRANSPORTE MENSAL

(G)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM

(H)","PASSAGEIROS PAGANTES INTEGRAÇÕES METRÔ E CPTM MENSAL

(I)","PASSAGEIROS PAGANTES

(J) = (A+B+C+D+E+F+G+H+I)","PASSAGEIROS INTEGRAÇÕES ÔNIBUS -> ÔNIBUS

(K)","PASSAGEIROS COM GRATUIDADE

(L)","PASSAGEIROS COM GRATUIDADE ESTUDANTE

(M)","TOTAL PASSAGEIROS TRANSPORTADOS

(N) = (J + K + L + M)"
0,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,N10511 - TERM CACHOEIRINHA/TERM LAPA,28,41,5,0,0,38,1,1,1,115,138,19,3,275
1,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,N14311 - METRO BARRA FUNDA/MORRO GRANDE,6,9,1,0,0,16,0,1,2,35,9,3,1,48
2,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,800010 - TERM LAPA/PCA RAMOS,280,426,73,12,6,413,16,100,5,1333,1000,476,46,2855
3,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,830010 - TERM PIRITUBA/TERM LAPA,61,86,16,1,0,90,6,34,1,296,266,88,17,667
4,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,853810 - VILA IARA/PAISSANDU,0,0,0,0,0,1,0,0,0,1,0,0,0,1
5,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,853821 - FREGUESIA DO O/PÇA PEDRO CORAZ,6,28,3,1,0,18,2,0,0,58,18,41,1,118
6,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,854210 - BRASILANDIA/PCA DO CORREIO,553,764,76,29,0,764,19,39,6,2252,994,712,70,4028
7,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,854510 - PENTEADO/METRO BARRA FUNDA,188,319,48,12,1,300,4,77,4,953,527,389,32,1901
8,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,901410 - MORRO GRANDE/TERMINAL LAPA,386,632,51,15,0,478,19,140,9,1732,939,520,76,3267
9,2015-12-31,CONCESSAO,AREA 1,GATO PRETO,916210 - JD.ALMANARA/RIO BRANCO,58,134,17,2,0,81,3,0,0,295,207,160,16,678
