main_category,state,state
Art,failed,14131
Art,successful,11510
Art,canceled,2222
Art,live,194
Art,suspended,96
Comics,successful,5842
Comics,failed,4036
Comics,canceled,842
Comics,live,76
Comics,suspended,23
Crafts,failed,5703
Crafts,successful,2115
Crafts,canceled,843
Crafts,live,76
Crafts,suspended,72
Dance,successful,2338
Dance,failed,1235
Dance,canceled,163
Dance,live,18
Dance,suspended,13
Dance,undefined,1
Design,failed,14814
Design,successful,10550
Design,canceled,4152
Design,live,305
Design,suspended,247
Design,undefined,2
Fashion,failed,14182
Fashion,successful,5593
Fashion,canceled,2650
Fashion,live,250
Fashion,suspended,138
Fashion,undefined,3
Film & Video,failed,32904
Film & Video,successful,23623
Film & Video,canceled,5755
Film & Video,undefined,854
Film & Video,live,332
Film & Video,suspended,117
Food,failed,15969
Food,successful,6085
Food,canceled,2211
Food,live,184
Food,suspended,153
Games,failed,16003
Games,successful,12518
Games,canceled,6202
Games,live,287
Games,suspended,220
Games,undefined,1
Journalism,failed,3137
Journalism,successful,1012
Journalism,canceled,523
Journalism,suspended,52
Journalism,live,31
Music,successful,24197
Music,failed,21752
Music,canceled,3305
Music,undefined,2234
Music,live,281
Music,suspended,149
Photography,failed,6384
Photography,successful,3305
Photography,canceled,986
Photography,suspended,55
Photography,live,48
Photography,undefined,1
Publishing,failed,23145
Publishing,successful,12300
Publishing,canceled,3602
Publishing,undefined,462
Publishing,live,299
Publishing,suspended,66
Technology,failed,20616
Technology,successful,6434
Technology,canceled,4715
Technology,suspended,424
Technology,live,377
Technology,undefined,3
Theater,successful,6534
Theater,failed,3708
Theater,canceled,608
Theater,live,41
Theater,suspended,21
Theater,undefined,1
